"km","tempo"
41.5443242802285,84.3952205800513
21.931932278676,42.6633214939298
4.60269348416477,6.14942222971155
31.1957180902828,58.8435212690824
1.85512012569234,8.54038848883018
18.4189056782052,37.9912638109867
25.4075812234078,51.175225917011
9.34494155063294,18.811722664711
17.4734418476,28.0124159690368
45.9904301436618,96.4659017208903
22.677285396494,48.7745600524319
21.3157747425139,52.6114193353897
43.415951236384,79.6994273555371
4.72894911188632,13.0126469521914
22.7266060574912,44.9956615045085
9.01237091864459,14.7776028916794
20.4420902978163,43.8077247453178
39.8134729317389,80.5755109876125
8.92845144215971,12.8698147110048
35.4425667829346,70.600634504257
7.89076986769214,17.362352321647
19.0731327736285,37.8383096984859
7.57764091808349,19.4174897600436
5.12336895032786,18.8617400324031
6.94111802824773,14.4325157132122
42.1203267236706,90.7076352555376
15.5455482592806,26.5548875660896
4.99129764572717,14.6627529489551
10.7803882800508,25.2234785409632
19.3800101769157,40.8579075985029
47.9857097296044,92.8233436436101
36.8784304091241,80.1895733105712
16.9073307027575,34.0783172476127
49.1866348434705,102.110104861855
43.6638737409376,88.0847826384761
28.8354466015007,58.9873751260885
17.5263877718244,30.4357323336603
11.8792643954512,20.8366076333207
45.1701988198329,88.3189681722536
38.5989234780427,77.6653592927125
18.172934780363,35.4646614277028
47.6811899116728,92.2339167025314
44.914759703679,94.5908803583125
43.3545894781128,92.8250536268067
26.9771327101626,58.0730207486937
16.9669178260956,37.427981296929
42.6766744728666,76.1877850939919
48.1821068872232,92.7065425390573
42.3724931168836,81.3503873616713
37.7644250367302,74.2887439124057
3.96359486319125,6.8612657480093
28.002422780497,55.7097095317076
20.9202227729838,44.5706736883236
42.6017543855123,86.3145098205137
10.5446766684763,24.3131431278227
4.0944895313587,10.5298495283811
24.1323868772015,50.363851662711
32.0195747571997,66.593364792348
39.4884155571926,77.5606306796928
12.9230267736129,24.1435802225493
28.5645426937845,63.3076140736456
19.4866847763769,46.6260605698349
36.4030613724608,77.9239444362728
48.5953779050615,95.6579750795876
39.2367772841826,83.9547825241155
29.4500888681505,57.9371472665085
41.9683524714783,84.6948568522479
36.1285380541813,80.2296701344571
16.7784680612385,35.6802308419442
35.7196716736071,70.5928788622438
37.6012479416095,81.1864817447493
7.62210893351585,18.3408389980139
28.8296396522783,54.2238959568947
36.7638342462014,71.6634231707387
23.0428646649234,45.9756018061379
19.378536549164,40.7775532917647
41.2054286526982,88.012255006426
39.2024742050562,77.4199738280967
18.9412360221613,34.7709211609125
1.43031942844391,3.26563766282184
7.24092464917339,14.0094626128267
23.3686270287726,45.415807519974
32.2326238388196,59.4098929580597
22.0590624860488,41.4432063280603
33.6608710729051,66.6743366637633
15.2042836605106,36.6786482746639
40.6607920611277,77.5141576749336
39.2676387573592,77.6526582703955
43.2355241731275,89.349685748627
26.7309418867808,47.1135882739233
37.2713013337925,77.749234518125
10.7706860806793,16.817999984609
31.1810131981038,63.2086106843135
35.5314421423245,76.7448584423312
13.1066587122623,23.6811515834569
7.87802551523782,13.9148320505339
30.8404439482838,51.8120118528838
12.8229184637312,29.8443606369359
9.83433888643049,21.2730355803471
44.7629352933727,92.5970409880562
